state_name,state_abbreviation,county_name,county_fips_code,studyyear,female_unemployed_rate,male_unemployed_rate,2022_med_household_inc,population,poverty_rate,1_breadwinner_hh,2_breadwinners_hh,avg_centrebased_care_price,avg_family_childcare_price
Alabama,AL,Autauga County,1001,2018,3.4,4.9,69367,55200,15.4,6127,5523,112.34636363636365,111.30363636363637
Alabama,AL,Autauga County,1001,2019,3.2,4.1,68128,55380,15.2,5686,5630,117.38818181818179,116.05
Alabama,AL,Autauga County,1001,2020,2.4,3.3,66679,55639,15.2,5773,5135,122.42181818181817,120.79999999999997
Alabama,AL,Autauga County,1001,2021,2.3,3.3,68299,58239,13.6,6122,5487,127.45454545454545,125.54545454545455
Alabama,AL,Autauga County,1001,2022,2.6,2.9,68315,58761,11.4,5353,5996,132.48818181818183,130.29545454545456
Alabama,AL,Baldwin County,1003,2018,4.1,4.7,66035,208107,10.6,19338,21594,114.80545454545455,111.01181818181819
Alabama,AL,Baldwin County,1003,2019,4.5,4.0,67651,212830,10.4,19679,21208,117.75363636363637,114.91363636363634
Alabama,AL,Baldwin County,1003,2020,4.5,3.4,71019,218289,9.2,18821,22612,120.69272727272727,118.82545454545453
Alabama,AL,Baldwin County,1003,2021,4.5,2.9,70137,227131,9.2,19782,23168,123.63636363636364,122.72727272727273
Alabama,AL,Baldwin County,1003,2022,4.4,2.6,71039,233420,10.2,20076,22329,126.58000000000003,126.63909090909091
Alabama,AL,Barbour County,1005,2018,9.5,9.6,40339,25782,28.9,3405,1185,90.95363636363635,83.14272727272727
Alabama,AL,Barbour County,1005,2019,8.4,9.8,37729,25361,30.7,3227,1160,96.97090909090912,88.00636363636362
Alabama,AL,Barbour County,1005,2020,8.8,5.1,40239,25026,28.6,3268,1148,102.98727272727272,92.8690909090909
Alabama,AL,Barbour County,1005,2021,11.5,5.6,39700,25259,26.5,3350,1164,109.0,97.72727272727273
Alabama,AL,Barbour County,1005,2022,7.8,3.5,39712,24877,24.2,3165,1184,115.01727272727273,102.59
Alabama,AL,Bibb County,1007,2018,9.0,6.3,53501,22527,14.0,1900,2004,107.77545454545454,89.26
Alabama,AL,Bibb County,1007,2019,9.1,5.7,55149,22493,18.1,2067,1385,113.55090909090906,92.84000000000002
Alabama,AL,Bibb County,1007,2020,8.4,6.7,59479,22374,18.1,2204,1299,119.32090909090907,96.41999999999999
Alabama,AL,Bibb County,1007,2021,10.2,9.3,59162,22412,16.9,2387,1383,125.0909090909091,100.0
Alabama,AL,Bibb County,1007,2022,9.4,8.1,50669,22251,20.6,2264,1234,130.8609090909091,103.58000000000001
Alabama,AL,Blount County,1009,2018,4.8,3.5,57460,57645,14.4,6781,4084,151.36727272727273,112.59454545454545
Alabama,AL,Blount County,1009,2019,3.6,3.1,57255,57681,13.6,6549,4297,148.8854545454546,118.58454545454543
Alabama,AL,Blount County,1009,2020,6.0,4.6,56260,57755,13.7,6481,4441,146.39545454545453,124.5645454545455
Alabama,AL,Blount County,1009,2021,5.6,6.4,57585,58884,13.2,6024,5097,143.9090909090909,130.54545454545453
Alabama,AL,Blount County,1009,2022,5.4,6.4,57440,59077,14.2,6000,4938,141.42363636363638,136.52636363636358
Alabama,AL,Bullock County,1011,2018,7.1,13.7,37939,10352,31.4,1568,201,112.34636363636365,111.30363636363637
Alabama,AL,Bullock County,1011,2019,3.1,4.4,43831,10248,28.9,1385,207,117.38818181818179,116.05
Alabama,AL,Bullock County,1011,2020,0.0,5.6,38946,10173,29.5,1234,508,122.42181818181817,120.79999999999997
Alabama,AL,Bullock County,1011,2021,0.3,5.0,31679,10386,30.9,1342,339,127.45454545454545,125.54545454545455
Alabama,AL,Bullock County,1011,2022,0.4,6.6,36136,10328,27.9,1456,279,132.48818181818183,130.29545454545456
Alabama,AL,Butler County,1013,2018,5.9,7.7,46149,20025,23.5,2303,1610,114.99727272727272,111.75818181818181
Alabama,AL,Butler County,1013,2019,7.3,6.2,47198,19828,22.5,2283,1668,119.15,116.35909090909094
Alabama,AL,Butler County,1013,2020,7.0,5.9,51578,19726,19.6,2232,1617,123.30181818181818,120.95000000000003
Alabama,AL,Butler County,1013,2021,7.2,5.8,49307,19181,18.2,1931,1715,127.45454545454545,125.54545454545455
Alabama,AL,Butler County,1013,2022,7.6,5.9,44429,18981,21.1,2003,1409,131.60727272727274,130.14090909090908
Alabama,AL,Calhoun County,1015,2018,10.1,7.5,53332,115098,18.6,11905,8798,97.61090909090905,88.73454545454545
Alabama,AL,Calhoun County,1015,2019,8.4,7.8,54816,114618,17.9,11547,8789,101.55727272727273,92.49000000000002
Alabama,AL,Calhoun County,1015,2020,8.3,6.3,57647,114324,15.8,12082,8252,105.50818181818182,96.24454545454545
Alabama,AL,Calhoun County,1015,2021,7.6,6.4,55565,116425,17.5,12556,8091,109.45454545454545,100.0
Alabama,AL,Calhoun County,1015,2022,7.9,6.1,54339,116162,18.0,12248,7309,113.40545454545453,103.75545454545455
Alabama,AL,Chambers County,1017,2018,4.2,5.6,47049,33826,16.6,3495,2053,118.49454545454546,116.45727272727271
Alabama,AL,Chambers County,1017,2019,4.1,3.8,49055,33660,17.3,3546,2186,121.32999999999997,119.9727272727273
Alabama,AL,Chambers County,1017,2020,4.9,2.4,50456,33427,15.4,3525,2082,124.16454545454545,123.4890909090909
Alabama,AL,Chambers County,1017,2021,3.8,2.6,51483,34834,15.1,3613,1963,127.0,127.0
Alabama,AL,Chambers County,1017,2022,4.7,2.5,48805,34612,17.9,3709,1981,129.84,130.51636363636365
Alabama,AL,Cherokee County,1019,2018,3.5,7.1,48397,25853,15.0,1981,2590,94.28636363636362,69.94272727272728
Alabama,AL,Cherokee County,1019,2019,3.5,5.1,48626,25903,13.9,1885,2593,97.71181818181817,73.2972727272727
Alabama,AL,Cherokee County,1019,2020,2.7,5.3,48885,26035,12.9,1804,2415,101.12909090909093,76.65090909090908
Alabama,AL,Cherokee County,1019,2021,4.3,5.0,47388,24975,15.0,1851,2083,104.54545454545455,80.0
Alabama,AL,Cherokee County,1019,2022,2.9,4.9,46621,25069,14.3,1707,2015,107.96272727272725,83.35363636363637
Alabama,AL,Chilton County,1021,2018,4.9,8.8,53315,43930,18.6,5054,3625,114.99727272727272,111.75818181818181
Alabama,AL,Chilton County,1021,2019,5.3,7.3,55063,44055,19.1,5580,3007,119.15,116.35909090909094
Alabama,AL,Chilton County,1021,2020,6.0,6.2,59962,44147,17.0,4978,3677,123.30181818181818,120.95000000000003
Alabama,AL,Chilton County,1021,2021,6.5,6.3,61305,44857,15.7,4584,4192,127.45454545454545,125.54545454545455
Alabama,AL,Chilton County,1021,2022,6.2,4.6,62471,45140,14.5,4017,4850,131.60727272727274,130.14090909090908
Alabama,AL,Choctaw County,1023,2018,8.5,12.2,41163,13075,22.2,1700,607,110.29090909090907,89.63
Alabama,AL,Choctaw County,1023,2019,8.0,7.8,41635,12925,23.3,1607,553,115.22727272727275,93.09000000000002
Alabama,AL,Choctaw County,1023,2020,5.1,7.7,42129,12755,19.7,1442,632,120.1590909090909,96.53999999999998
Alabama,AL,Choctaw County,1023,2021,4.4,7.4,42053,12792,21.6,1570,541,125.0909090909091,100.0
Alabama,AL,Choctaw County,1023,2022,4.0,6.3,43299,12669,19.1,1439,656,130.02272727272728,103.46000000000002
